sale_id,sale_date,store_id,product_id,quantity
EW-6583,05-09-2024,ST-44,P-71,10
AL-2050,12-04-2021,ST-23,P-88,3
HF-9466,15-01-2024,ST-35,P-20,6
XD-006535,14-02-2022,ST-6,P-68,1
YH-1328,27-03-2023,ST-70,P-59,10
CY-87316,26-08-2020,ST-34,P-68,8
KG-5729,01-11-2023,ST-28,P-54,3
DM-825644,18-02-2022,ST-25,P-77,4
PZ-4317,05-10-2023,ST-33,P-41,9
TQ-696608,17-10-2020,ST-48,P-1,5
JI-9789,09-08-2022,ST-39,P-80,8
UP-9539,16-12-2023,ST-40,P-87,4
AV-24731,04-08-2020,ST-54,P-22,10
EL-02967,29-03-2021,ST-67,P-69,1
OG-3808,17-05-2021,ST-53,P-43,2
GW-682176,17-03-2023,ST-35,P-69,8
AB-3169,09-05-2024,ST-75,P-32,3
WZ-4140,28-02-2022,ST-32,P-58,3
AD-10136,24-03-2020,ST-27,P-32,7
NY-35112,15-10-2020,ST-1,P-1,5
RF-2025,20-02-2024,ST-3,P-54,5
ZS-36160,20-06-2024,ST-55,P-35,2
HT-352973,15-03-2021,ST-68,P-85,10
EO-785293,06-09-2020,ST-57,P-74,10
UY-39814,16-06-2024,ST-16,P-40,1
QY-9244,16-03-2022,ST-41,P-1,5
UT-337767,04-10-2022,ST-53,P-24,10
WL-4366,14-01-2023,ST-45,P-56,9
HS-772451,15-06-2021,ST-42,P-37,5
IA-91909,02-10-2024,ST-11,P-89,5
VH-80261,19-03-2021,ST-46,P-27,1
QT-19369,12-08-2024,ST-6,P-78,10
SI-962155,05-09-2024,ST-67,P-30,8
IS-339451,06-06-2021,ST-4,P-47,7
EG-99011,28-03-2023,ST-22,P-30,10
MQ-8253,22-06-2023,ST-36,P-62,8
MG-7059,10-01-2020,ST-60,P-37,1
CG-5691,22-09-2024,ST-57,P-1,9
WU-40042,02-01-2021,ST-11,P-75,3
IF-6093,29-03-2023,ST-28,P-48,9
UG-166884,05-12-2020,ST-57,P-52,1
JU-315162,26-11-2023,ST-22,P-24,9
NE-96230,09-02-2023,ST-12,P-13,3
CD-6965,27-04-2023,ST-24,P-19,8
HE-6187,22-08-2024,ST-36,P-61,5
ZV-97172,05-06-2021,ST-7,P-29,6
IF-072791,24-08-2022,ST-13,P-27,3
HO-44446,06-10-2023,ST-13,P-8,5
IS-91623,30-08-2021,ST-45,P-44,3
PJ-9655,26-06-2021,ST-50,P-2,1
TR-61388,09-01-2023,ST-49,P-14,4
DV-4563,06-08-2021,ST-2,P-47,3
GJ-787565,21-01-2021,ST-30,P-79,7
NX-0508,27-02-2023,ST-2,P-19,1
WR-91139,19-10-2020,ST-1,P-67,8
ZL-10027,22-04-2020,ST-15,P-42,9
FY-7046,05-11-2022,ST-24,P-36,2
YB-28174,22-12-2022,ST-40,P-26,10
GJ-6359,15-08-2024,ST-72,P-17,8
LN-1396,18-01-2024,ST-44,P-78,2
YM-66541,16-02-2020,ST-3,P-88,5
DZ-7476,30-06-2020,ST-5,P-75,7
PF-29174,27-08-2020,ST-55,P-57,7
SJ-75325,31-05-2022,ST-28,P-42,8
EH-552820,15-03-2023,ST-34,P-13,2
RE-420078,25-11-2020,ST-71,P-26,10
DU-28056,08-07-2024,ST-8,P-40,4
XA-51752,18-06-2020,ST-11,P-16,1
YN-3733,29-09-2024,ST-2,P-57,1
LR-0627,22-05-2022,ST-56,P-27,6
KW-0710,11-05-2022,ST-36,P-67,5
RU-159516,30-05-2022,ST-23,P-8,8
XU-231947,15-07-2024,ST-45,P-64,3
KN-979984,21-08-2024,ST-45,P-29,1
AN-636404,03-03-2023,ST-43,P-71,8
RZ-2716,21-07-2020,ST-55,P-33,9
AY-0729,20-03-2023,ST-44,P-71,8
VW-7047,30-12-2021,ST-9,P-83,6
WX-7654,23-08-2023,ST-35,P-16,6
FE-978642,25-10-2020,ST-50,P-49,4
BF-94583,19-10-2020,ST-67,P-47,6
SZ-77160,05-02-2021,ST-37,P-42,6
PX-573444,07-05-2022,ST-34,P-3,2
HJ-456343,06-09-2020,ST-33,P-33,1
JF-187681,18-04-2022,ST-5,P-10,9
OR-45171,15-12-2021,ST-36,P-54,4
PY-458717,15-05-2022,ST-27,P-13,8
TC-00177,20-04-2020,ST-19,P-69,8
IR-099326,04-03-2020,ST-71,P-87,5
DB-3588,19-04-2024,ST-53,P-15,10
UJ-55405,04-05-2023,ST-67,P-26,6
IT-87038,31-05-2024,ST-48,P-74,7
PI-3739,12-03-2022,ST-6,P-22,2
HO-0455,31-07-2024,ST-12,P-89,6
WJ-72872,25-02-2024,ST-2,P-35,1
PC-9967,15-07-2021,ST-46,P-20,1
QH-9157,09-09-2022,ST-57,P-81,7
PF-41355,11-07-2022,ST-16,P-20,2
WP-0933,17-02-2021,ST-50,P-68,2
WL-6893,27-08-2021,ST-28,P-40,1
JA-058134,29-01-2021,ST-14,P-5,1
ES-2096,03-11-2023,ST-7,P-88,3
PO-4862,25-12-2020,ST-9,P-23,10
NX-833355,02-01-2024,ST-11,P-9,4
YL-574641,27-04-2021,ST-16,P-8,1
RI-101161,18-01-2022,ST-56,P-43,10
EW-0602,09-06-2023,ST-9,P-82,5
DW-09971,09-01-2021,ST-30,P-69,2
IY-7630,21-11-2023,ST-25,P-67,10
RH-08308,09-01-2020,ST-50,P-14,9
FT-0971,15-11-2021,ST-1,P-34,9
LS-141803,31-07-2021,ST-17,P-9,9
FR-8481,31-03-2024,ST-64,P-32,9
LH-15605,17-12-2020,ST-23,P-47,1
PF-469072,20-05-2023,ST-9,P-89,9
OQ-60089,02-02-2024,ST-10,P-65,7
LQ-157442,30-05-2020,ST-59,P-73,7
GP-9721,23-11-2022,ST-41,P-89,7
YK-797748,11-05-2024,ST-17,P-60,1
RG-6218,05-07-2023,ST-45,P-12,6
VQ-75499,18-01-2021,ST-74,P-83,7
TH-38571,31-12-2021,ST-44,P-8,7
IX-528551,04-01-2020,ST-59,P-42,6
JE-55048,03-08-2022,ST-24,P-78,5
QE-420874,11-01-2021,ST-59,P-75,9
RJ-273700,04-09-2023,ST-40,P-43,9
UW-6759,08-02-2022,ST-7,P-37,6
UQ-182488,30-09-2024,ST-73,P-14,1
NM-2866,05-07-2023,ST-16,P-87,7
EV-17280,27-07-2024,ST-64,P-43,1
HG-89792,27-05-2020,ST-69,P-70,7
BJ-7473,16-05-2021,ST-27,P-21,9
WM-9899,01-06-2020,ST-58,P-43,7
DB-8774,19-01-2021,ST-29,P-64,1
DA-1599,06-02-2020,ST-50,P-10,9
OI-09295,05-11-2023,ST-65,P-23,2
IG-780082,26-02-2023,ST-17,P-68,10
UT-365537,13-12-2020,ST-56,P-26,7
WT-2518,24-07-2020,ST-44,P-80,2
ZO-681243,27-12-2021,ST-41,P-80,2
BH-746599,28-06-2021,ST-41,P-26,3
VD-66087,24-09-2023,ST-7,P-9,8
FC-617053,26-05-2024,ST-64,P-70,6
UX-3225,16-02-2020,ST-25,P-12,8
LX-360558,05-04-2021,ST-52,P-49,2
QM-355005,14-05-2023,ST-18,P-33,5
GR-3334,22-08-2020,ST-21,P-57,2
TI-5157,06-01-2024,ST-49,P-3,10
JB-14625,10-05-2021,ST-62,P-15,2
XJ-06411,28-01-2022,ST-73,P-33,6
MY-72567,26-09-2024,ST-68,P-60,7
WG-8529,13-06-2024,ST-56,P-12,3
IK-4721,19-06-2020,ST-65,P-57,9
XV-68594,30-08-2024,ST-64,P-81,10
LA-565770,18-06-2020,ST-23,P-32,8
CQ-340333,01-01-2023,ST-48,P-32,8
GY-98860,24-03-2023,ST-6,P-44,10
UC-3791,11-10-2022,ST-36,P-22,4
LF-3667,29-05-2020,ST-43,P-20,3
QP-951378,01-09-2024,ST-1,P-64,2
KT-31506,29-07-2020,ST-42,P-43,2
JV-12394,15-02-2020,ST-3,P-69,8
JY-82084,22-05-2024,ST-72,P-4,4
AN-1906,10-02-2023,ST-71,P-4,6
UW-700944,17-12-2022,ST-57,P-51,3
AK-92110,30-05-2023,ST-49,P-65,1
NI-44237,08-03-2022,ST-10,P-45,7
MW-684930,18-01-2021,ST-9,P-72,2
MK-1350,12-08-2021,ST-45,P-44,6
VO-838386,16-03-2020,ST-20,P-27,9
CK-093477,25-05-2024,ST-73,P-62,1
BC-0746,01-12-2020,ST-55,P-72,10
KO-775718,13-02-2020,ST-46,P-4,10
CX-896346,10-02-2024,ST-46,P-67,7
BQ-6273,11-09-2020,ST-44,P-64,2
AC-2616,01-01-2021,ST-47,P-22,5
KE-8249,24-06-2020,ST-17,P-52,3
ZM-367001,27-10-2023,ST-75,P-79,1
VS-179058,13-06-2020,ST-54,P-64,10
GH-07179,04-02-2024,ST-62,P-87,1
YG-556411,17-05-2021,ST-66,P-23,1
EJ-479505,23-01-2021,ST-55,P-51,8
QY-49098,08-06-2022,ST-8,P-13,5
ND-68912,05-04-2022,ST-55,P-48,8
WE-430073,11-03-2024,ST-57,P-13,5
ME-1957,25-04-2024,ST-68,P-9,1
JI-203034,31-07-2023,ST-43,P-66,7
BJ-823770,20-08-2022,ST-13,P-11,3
IW-09212,06-08-2024,ST-59,P-55,10
AA-29074,02-06-2024,ST-46,P-85,9
GS-04912,20-12-2020,ST-13,P-39,5
JY-167251,04-07-2020,ST-8,P-6,2
OO-83229,05-09-2023,ST-43,P-44,9
WS-0127,09-07-2021,ST-33,P-28,5
QK-9898,14-07-2020,ST-13,P-84,9
BQ-6985,30-09-2022,ST-25,P-52,6
VL-9860,09-05-2022,ST-37,P-16,3
XI-95385,15-03-2021,ST-67,P-44,2
TG-85247,02-03-2024,ST-40,P-61,2
CW-89579,06-02-2022,ST-15,P-50,9
JM-0463,05-03-2021,ST-24,P-35,10
HD-59708,16-01-2021,ST-60,P-21,8
LM-4999,12-05-2021,ST-68,P-42,10
VD-70089,04-02-2021,ST-68,P-19,5
JO-833914,06-03-2023,ST-21,P-80,4
EF-0082,18-02-2021,ST-63,P-85,8
RN-61369,28-03-2023,ST-29,P-13,10
EZ-9588,01-11-2024,ST-3,P-78,2
EV-09955,11-01-2021,ST-45,P-71,10
DR-19055,26-12-2021,ST-57,P-78,5
NN-395091,30-06-2021,ST-56,P-79,8
UR-276638,23-02-2022,ST-44,P-83,8
PI-086310,23-07-2021,ST-46,P-25,7
NP-55038,28-01-2022,ST-36,P-59,3
ZI-836511,16-08-2021,ST-51,P-67,3
VW-0727,25-06-2021,ST-24,P-70,7
VH-273281,25-10-2022,ST-56,P-5,7
CE-447216,02-10-2020,ST-24,P-83,8
LW-770873,26-07-2021,ST-65,P-79,10
FJ-03325,13-10-2021,ST-31,P-5,4
QH-8964,24-02-2024,ST-39,P-48,6
TL-93710,27-04-2024,ST-21,P-45,7
AT-98306,24-09-2022,ST-17,P-72,3
OH-65190,07-08-2021,ST-66,P-31,5
WG-14358,27-10-2022,ST-75,P-85,4
HG-1933,30-05-2024,ST-10,P-26,4
AB-8477,27-06-2020,ST-30,P-53,5
MJ-84121,03-03-2024,ST-24,P-65,8
AE-6046,28-02-2022,ST-16,P-82,9
TB-407146,28-04-2021,ST-56,P-49,4
IL-462115,11-11-2020,ST-32,P-72,2
