claim_id,claim_date,sale_id,repair_status
CL-94922,2024-06-30,AQ-91241,Pending
CL-98527,2024-02-03,KT-21575,In Progress
CL-5057,2024-01-12,TM-57068,In Progress
CL-64091,2024-07-02,PR-75791,Pending
CL-45944,2024-03-19,DA-345330,Completed
CL-559,2024-01-14,ST-4676,In Progress
CL-11844,2024-08-22,NM-84186,In Progress
CL-29874,2024-07-23,PK-10987,Completed
CL-80931,2024-10-01,EJ-793807,Pending
CL-63075,2024-04-27,ZH-0844,In Progress
CL-22802,2024-03-28,JQ-5873,In Progress
CL-2302,2024-07-25,LY-923378,In Progress
CL-43893,2024-09-29,LN-4817,In Progress
CL-51480,2024-11-03,TV-49681,In Progress
CL-59916,2024-10-08,YN-1765,Completed
CL-83371,2024-07-08,OC-939243,In Progress
CL-1764,2024-05-09,EA-41356,Pending
CL-81094,2024-06-19,IW-61221,In Progress
CL-99210,2024-03-21,ER-759299,In Progress
CL-76064,2024-02-08,LW-96059,Rejected
CL-8212,2024-04-30,RB-691542,In Progress
CL-99938,2024-04-12,YT-79238,Completed
CL-6396,2024-04-20,SX-94008,Completed
CL-5784,2024-03-06,WT-583316,In Progress
CL-20251,2024-05-23,TR-88860,Pending
CL-6694,2024-03-04,HA-89578,Pending
CL-9237,2024-11-08,AI-469990,Completed
CL-78479,2024-09-10,TK-6974,Rejected
CL-8647,2024-06-11,FH-182825,In Progress
CL-37918,2024-09-10,GQ-223816,Pending
CL-48414,2024-04-12,WO-56683,In Progress
CL-94391,2024-01-02,JU-6607,Rejected
CL-1589,2024-03-15,SZ-877453,In Progress
CL-70575,2024-09-26,RK-4361,Completed
CL-211,2024-01-18,MK-3847,Rejected
CL-117,2024-06-10,TM-462288,Pending
CL-3598,2024-10-17,PF-4172,Rejected
CL-88626,2024-06-01,XG-337079,In Progress
CL-51590,2024-07-29,ND-98239,Completed
CL-3530,2024-01-13,LQ-436872,Pending
CL-89622,2024-11-01,QD-95810,Completed
CL-8182,2024-07-08,VR-61145,Pending
CL-9872,2024-02-05,PY-985811,In Progress
CL-99363,2024-10-16,JZ-812803,Pending
CL-71012,2024-03-06,UG-266653,Rejected
CL-7477,2024-09-20,TS-2839,Completed
CL-65137,2024-02-25,EF-126944,Completed
CL-1913,2024-08-23,KS-24900,Rejected
CL-7777,2024-10-12,BR-501075,In Progress
CL-8229,2024-07-04,LL-8900,Pending
CL-7343,2024-08-17,DI-417643,Completed
CL-3181,2024-01-11,GD-411942,Pending
CL-43679,2024-11-11,GO-279359,Completed
CL-64634,2024-01-05,GQ-5849,Completed
CL-61657,2024-08-15,GV-5353,In Progress
CL-75122,2024-03-10,LW-4376,Pending
CL-2533,2024-09-22,GJ-590040,Pending
CL-72014,2024-09-24,CR-821315,In Progress
CL-3552,2024-04-27,UL-8245,Pending
CL-25812,2024-09-26,WU-356522,In Progress
